"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Precipitation Amount","1960 December","Roches Point","Millimetres",""
"Precipitation Amount","1960 December","Markree","Millimetres",""
"Precipitation Amount","1961 January","Malin Head","Millimetres","100.9"
"Precipitation Amount","1961 January","Claremorris","Millimetres","168"
"Precipitation Amount","1961 January","Valentia Observatory","Millimetres","261.1"
"Precipitation Amount","1961 January","Belmullet","Millimetres","163.4"
"Precipitation Amount","1961 January","Shannon Airport","Millimetres","130.9"
"Precipitation Amount","1961 January","Dublin Airport","Millimetres","106.3"
"Precipitation Amount","1961 January","Mullingar","Millimetres","132.5"
"Precipitation Amount","1961 January","Cork Airport","Millimetres",""
"Precipitation Amount","1961 January","Casement","Millimetres",""
"Precipitation Amount","1961 January","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 January","Roches Point","Millimetres",""
"Precipitation Amount","1961 January","Markree","Millimetres",""
"Precipitation Amount","1961 February","Malin Head","Millimetres","113.3"
"Precipitation Amount","1961 February","Claremorris","Millimetres","105.6"
"Precipitation Amount","1961 February","Valentia Observatory","Millimetres","124.2"
"Precipitation Amount","1961 February","Belmullet","Millimetres","86.5"
"Precipitation Amount","1961 February","Shannon Airport","Millimetres","97.1"
"Precipitation Amount","1961 February","Dublin Airport","Millimetres","50.8"
"Precipitation Amount","1961 February","Mullingar","Millimetres","75.8"
"Precipitation Amount","1961 February","Cork Airport","Millimetres",""
"Precipitation Amount","1961 February","Casement","Millimetres",""
"Precipitation Amount","1961 February","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 February","Roches Point","Millimetres",""
"Precipitation Amount","1961 February","Markree","Millimetres",""
"Precipitation Amount","1961 March","Malin Head","Millimetres","60.4"
"Precipitation Amount","1961 March","Claremorris","Millimetres","30.4"
"Precipitation Amount","1961 March","Valentia Observatory","Millimetres","19.1"
"Precipitation Amount","1961 March","Belmullet","Millimetres","37.9"
"Precipitation Amount","1961 March","Shannon Airport","Millimetres","18"
"Precipitation Amount","1961 March","Dublin Airport","Millimetres","4"
"Precipitation Amount","1961 March","Mullingar","Millimetres","13.3"
"Precipitation Amount","1961 March","Cork Airport","Millimetres",""
