"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Sunshine Duration","1961 March","Dublin Airport","Hours","126"
"Sunshine Duration","1961 March","Mullingar","Hours","101.9"
"Sunshine Duration","1961 March","Cork Airport","Hours",""
"Sunshine Duration","1961 March","Casement","Hours",""
"Sunshine Duration","1961 March","Phoenix Park","Hours",""
"Sunshine Duration","1961 March","Roches Point","Hours",""
"Sunshine Duration","1961 March","Markree","Hours",""
"Sunshine Duration","1961 April","Malin Head","Hours","118"
"Sunshine Duration","1961 April","Claremorris","Hours","110.4"
"Sunshine Duration","1961 April","Valentia Observatory","Hours","147.9"
"Sunshine Duration","1961 April","Belmullet","Hours","160.2"
"Sunshine Duration","1961 April","Shannon Airport","Hours","139.1"
"Sunshine Duration","1961 April","Dublin Airport","Hours","139.4"
"Sunshine Duration","1961 April","Mullingar","Hours","126"
"Sunshine Duration","1961 April","Cork Airport","Hours",""
"Sunshine Duration","1961 April","Casement","Hours",""
"Sunshine Duration","1961 April","Phoenix Park","Hours",""
"Sunshine Duration","1961 April","Roches Point","Hours",""
"Sunshine Duration","1961 April","Markree","Hours",""
"Sunshine Duration","1961 May","Malin Head","Hours","233.8"
"Sunshine Duration","1961 May","Claremorris","Hours","199.2"
"Sunshine Duration","1961 May","Valentia Observatory","Hours","277.9"
"Sunshine Duration","1961 May","Belmullet","Hours","240.1"
"Sunshine Duration","1961 May","Shannon Airport","Hours","237.7"
"Sunshine Duration","1961 May","Dublin Airport","Hours","231.6"
"Sunshine Duration","1961 May","Mullingar","Hours","205.4"
"Sunshine Duration","1961 May","Cork Airport","Hours",""
"Sunshine Duration","1961 May","Casement","Hours",""
"Sunshine Duration","1961 May","Phoenix Park","Hours",""
"Sunshine Duration","1961 May","Roches Point","Hours",""
"Sunshine Duration","1961 May","Markree","Hours",""
"Sunshine Duration","1961 June","Malin Head","Hours","146.1"
"Sunshine Duration","1961 June","Claremorris","Hours","91.7"
"Sunshine Duration","1961 June","Valentia Observatory","Hours","115.6"
"Sunshine Duration","1961 June","Belmullet","Hours","145.4"
"Sunshine Duration","1961 June","Shannon Airport","Hours","142"
"Sunshine Duration","1961 June","Dublin Airport","Hours","165.9"
"Sunshine Duration","1961 June","Mullingar","Hours","140.1"
"Sunshine Duration","1961 June","Cork Airport","Hours",""
"Sunshine Duration","1961 June","Casement","Hours",""
"Sunshine Duration","1961 June","Phoenix Park","Hours",""
"Sunshine Duration","1961 June","Roches Point","Hours",""
"Sunshine Duration","1961 June","Markree","Hours",""
"Sunshine Duration","1961 July","Malin Head","Hours","103.9"
"Sunshine Duration","1961 July","Claremorris","Hours","70.5"
"Sunshine Duration","1961 July","Valentia Observatory","Hours","155.5"
"Sunshine Duration","1961 July","Belmullet","Hours","104.4"
"Sunshine Duration","1961 July","Shannon Airport","Hours","134.9"
"Sunshine Duration","1961 July","Dublin Airport","Hours","131.3"
"Sunshine Duration","1961 July","Mullingar","Hours","110.4"
"Sunshine Duration","1961 July","Cork Airport","Hours",""
"Sunshine Duration","1961 July","Casement","Hours",""
"Sunshine Duration","1961 July","Phoenix Park","Hours",""
"Sunshine Duration","1961 July","Roches Point","Hours",""
"Sunshine Duration","1961 July","Markree","Hours",""
"Sunshine Duration","1961 August","Malin Head","Hours","126"
"Sunshine Duration","1961 August","Claremorris","Hours","129.3"
"Sunshine Duration","1961 August","Valentia Observatory","Hours","150.4"
"Sunshine Duration","1961 August","Belmullet","Hours","162.4"
"Sunshine Duration","1961 August","Shannon Airport","Hours","162.7"
"Sunshine Duration","1961 August","Dublin Airport","Hours","161.1"
"Sunshine Duration","1961 August","Mullingar","Hours","146.6"
"Sunshine Duration","1961 August","Cork Airport","Hours",""
"Sunshine Duration","1961 August","Casement","Hours",""
"Sunshine Duration","1961 August","Phoenix Park","Hours",""
"Sunshine Duration","1961 August","Roches Point","Hours",""
"Sunshine Duration","1961 August","Markree","Hours",""
"Sunshine Duration","1961 September","Malin Head","Hours","127"
"Sunshine Duration","1961 September","Claremorris","Hours","103.8"
"Sunshine Duration","1961 September","Valentia Observatory","Hours","103.1"
"Sunshine Duration","1961 September","Belmullet","Hours","138.5"
"Sunshine Duration","1961 September","Shannon Airport","Hours","120.8"
"Sunshine Duration","1961 September","Dublin Airport","Hours","119.8"
"Sunshine Duration","1961 September","Mullingar","Hours","115.5"
"Sunshine Duration","1961 September","Cork Airport","Hours",""
"Sunshine Duration","1961 September","Casement","Hours",""
"Sunshine Duration","1961 September","Phoenix Park","Hours",""
"Sunshine Duration","1961 September","Roches Point","Hours",""
"Sunshine Duration","1961 September","Markree","Hours",""
"Sunshine Duration","1961 October","Malin Head","Hours","94.7"
"Sunshine Duration","1961 October","Claremorris","Hours","98.9"
"Sunshine Duration","1961 October","Valentia Observatory","Hours","91.8"
"Sunshine Duration","1961 October","Belmullet","Hours","86.1"
"Sunshine Duration","1961 October","Shannon Airport","Hours","100.8"
"Sunshine Duration","1961 October","Dublin Airport","Hours","107.5"
"Sunshine Duration","1961 October","Mullingar","Hours","85.3"
"Sunshine Duration","1961 October","Cork Airport","Hours",""
"Sunshine Duration","1961 October","Casement","Hours",""
"Sunshine Duration","1961 October","Phoenix Park","Hours",""
"Sunshine Duration","1961 October","Roches Point","Hours",""
"Sunshine Duration","1961 October","Markree","Hours",""
"Sunshine Duration","1961 November","Malin Head","Hours","51.7"
"Sunshine Duration","1961 November","Claremorris","Hours","54"
"Sunshine Duration","1961 November","Valentia Observatory","Hours","53"
"Sunshine Duration","1961 November","Belmullet","Hours","53.6"
"Sunshine Duration","1961 November","Shannon Airport","Hours","50.7"
"Sunshine Duration","1961 November","Dublin Airport","Hours","71.3"
"Sunshine Duration","1961 November","Mullingar","Hours","61.1"
"Sunshine Duration","1961 November","Cork Airport","Hours",""
"Sunshine Duration","1961 November","Casement","Hours",""
"Sunshine Duration","1961 November","Phoenix Park","Hours",""
"Sunshine Duration","1961 November","Roches Point","Hours",""
"Sunshine Duration","1961 November","Markree","Hours",""
"Sunshine Duration","1961 December","Malin Head","Hours","40.7"
"Sunshine Duration","1961 December","Claremorris","Hours","57.7"
"Sunshine Duration","1961 December","Valentia Observatory","Hours","49.6"
"Sunshine Duration","1961 December","Belmullet","Hours","60.1"
"Sunshine Duration","1961 December","Shannon Airport","Hours","66.2"
"Sunshine Duration","1961 December","Dublin Airport","Hours","76.5"
"Sunshine Duration","1961 December","Mullingar","Hours","68.1"
"Sunshine Duration","1961 December","Cork Airport","Hours",""
"Sunshine Duration","1961 December","Casement","Hours",""
"Sunshine Duration","1961 December","Phoenix Park","Hours",""
"Sunshine Duration","1961 December","Roches Point","Hours",""
"Sunshine Duration","1961 December","Markree","Hours",""
"Sunshine Duration","1962 January","Malin Head","Hours","45.6"
"Sunshine Duration","1962 January","Claremorris","Hours","42.5"
"Sunshine Duration","1962 January","Valentia Observatory","Hours","42"
"Sunshine Duration","1962 January","Belmullet","Hours","49.3"
"Sunshine Duration","1962 January","Shannon Airport","Hours","44.5"
"Sunshine Duration","1962 January","Dublin Airport","Hours","69"
"Sunshine Duration","1962 January","Mullingar","Hours","65.6"
"Sunshine Duration","1962 January","Cork Airport","Hours",""
"Sunshine Duration","1962 January","Casement","Hours",""
"Sunshine Duration","1962 January","Phoenix Park","Hours",""
"Sunshine Duration","1962 January","Roches Point","Hours",""
"Sunshine Duration","1962 January","Markree","Hours",""
"Sunshine Duration","1962 February","Malin Head","Hours","56.1"
"Sunshine Duration","1962 February","Claremorris","Hours","56.9"
"Sunshine Duration","1962 February","Valentia Observatory","Hours","65.8"
"Sunshine Duration","1962 February","Belmullet","Hours","82"
"Sunshine Duration","1962 February","Shannon Airport","Hours","68.1"
"Sunshine Duration","1962 February","Dublin Airport","Hours","46.5"
"Sunshine Duration","1962 February","Mullingar","Hours","44.1"
"Sunshine Duration","1962 February","Cork Airport","Hours",""
"Sunshine Duration","1962 February","Casement","Hours",""
"Sunshine Duration","1962 February","Phoenix Park","Hours",""
"Sunshine Duration","1962 February","Roches Point","Hours",""
"Sunshine Duration","1962 February","Markree","Hours",""
"Sunshine Duration","1962 March","Malin Head","Hours","115.5"
"Sunshine Duration","1962 March","Claremorris","Hours","127.7"
"Sunshine Duration","1962 March","Valentia Observatory","Hours","146.1"
"Sunshine Duration","1962 March","Belmullet","Hours","128.4"
"Sunshine Duration","1962 March","Shannon Airport","Hours","133.5"
"Sunshine Duration","1962 March","Dublin Airport","Hours","128.8"
"Sunshine Duration","1962 March","Mullingar","Hours","129.5"
"Sunshine Duration","1962 March","Cork Airport","Hours",""
"Sunshine Duration","1962 March","Casement","Hours",""
"Sunshine Duration","1962 March","Phoenix Park","Hours",""
"Sunshine Duration","1962 March","Roches Point","Hours",""
"Sunshine Duration","1962 March","Markree","Hours",""
"Sunshine Duration","1962 April","Malin Head","Hours","233"
"Sunshine Duration","1962 April","Claremorris","Hours","193.2"
"Sunshine Duration","1962 April","Valentia Observatory","Hours","184.3"
"Sunshine Duration","1962 April","Belmullet","Hours","222.3"
"Sunshine Duration","1962 April","Shannon Airport","Hours","183.7"
"Sunshine Duration","1962 April","Dublin Airport","Hours","193.3"
"Sunshine Duration","1962 April","Mullingar","Hours","199"
"Sunshine Duration","1962 April","Cork Airport","Hours","201.1"
"Sunshine Duration","1962 April","Casement","Hours",""
"Sunshine Duration","1962 April","Phoenix Park","Hours",""
"Sunshine Duration","1962 April","Roches Point","Hours",""
"Sunshine Duration","1962 April","Markree","Hours",""
"Sunshine Duration","1962 May","Malin Head","Hours","232.6"
"Sunshine Duration","1962 May","Claremorris","Hours","208.1"
"Sunshine Duration","1962 May","Valentia Observatory","Hours","212.3"
"Sunshine Duration","1962 May","Belmullet","Hours","249.3"
"Sunshine Duration","1962 May","Shannon Airport","Hours","215.7"
"Sunshine Duration","1962 May","Dublin Airport","Hours","212.5"
"Sunshine Duration","1962 May","Mullingar","Hours","226.1"
"Sunshine Duration","1962 May","Cork Airport","Hours","216.5"
"Sunshine Duration","1962 May","Casement","Hours",""
"Sunshine Duration","1962 May","Phoenix Park","Hours",""
"Sunshine Duration","1962 May","Roches Point","Hours",""
"Sunshine Duration","1962 May","Markree","Hours",""
"Sunshine Duration","1962 June","Malin Head","Hours","170"
"Sunshine Duration","1962 June","Claremorris","Hours","190.8"
"Sunshine Duration","1962 June","Valentia Observatory","Hours","209.6"
"Sunshine Duration","1962 June","Belmullet","Hours","198.9"
"Sunshine Duration","1962 June","Shannon Airport","Hours","194.2"
"Sunshine Duration","1962 June","Dublin Airport","Hours","202.8"
"Sunshine Duration","1962 June","Mullingar","Hours","192"
"Sunshine Duration","1962 June","Cork Airport","Hours","236.7"
"Sunshine Duration","1962 June","Casement","Hours",""
"Sunshine Duration","1962 June","Phoenix Park","Hours",""
"Sunshine Duration","1962 June","Roches Point","Hours",""
"Sunshine Duration","1962 June","Markree","Hours",""
"Sunshine Duration","1962 July","Malin Head","Hours","136.1"
"Sunshine Duration","1962 July","Claremorris","Hours","97.2"
"Sunshine Duration","1962 July","Valentia Observatory","Hours","127.4"
"Sunshine Duration","1962 July","Belmullet","Hours","147.5"
"Sunshine Duration","1962 July","Shannon Airport","Hours","135"
"Sunshine Duration","1962 July","Dublin Airport","Hours","125.4"
"Sunshine Duration","1962 July","Mullingar","Hours","102.8"
"Sunshine Duration","1962 July","Cork Airport","Hours","156.9"
"Sunshine Duration","1962 July","Casement","Hours",""
"Sunshine Duration","1962 July","Phoenix Park","Hours",""
"Sunshine Duration","1962 July","Roches Point","Hours",""
"Sunshine Duration","1962 July","Markree","Hours",""
"Sunshine Duration","1962 August","Malin Head","Hours","172.9"
"Sunshine Duration","1962 August","Claremorris","Hours","147.6"
"Sunshine Duration","1962 August","Valentia Observatory","Hours","160.1"
"Sunshine Duration","1962 August","Belmullet","Hours","192.8"
"Sunshine Duration","1962 August","Shannon Airport","Hours","154.5"
"Sunshine Duration","1962 August","Dublin Airport","Hours","161.1"
"Sunshine Duration","1962 August","Mullingar","Hours","160.4"
"Sunshine Duration","1962 August","Cork Airport","Hours","167.3"
"Sunshine Duration","1962 August","Casement","Hours",""
"Sunshine Duration","1962 August","Phoenix Park","Hours",""
"Sunshine Duration","1962 August","Roches Point","Hours",""
"Sunshine Duration","1962 August","Markree","Hours",""
"Sunshine Duration","1962 September","Malin Head","Hours","104.6"
"Sunshine Duration","1962 September","Claremorris","Hours","84.9"
"Sunshine Duration","1962 September","Valentia Observatory","Hours","116"
"Sunshine Duration","1962 September","Belmullet","Hours","87.4"
"Sunshine Duration","1962 September","Shannon Airport","Hours","98.4"
"Sunshine Duration","1962 September","Dublin Airport","Hours","87"
"Sunshine Duration","1962 September","Mullingar","Hours","79.7"
"Sunshine Duration","1962 September","Cork Airport","Hours","107.4"
"Sunshine Duration","1962 September","Casement","Hours",""
"Sunshine Duration","1962 September","Phoenix Park","Hours",""
"Sunshine Duration","1962 September","Roches Point","Hours",""
"Sunshine Duration","1962 September","Markree","Hours",""
"Sunshine Duration","1962 October","Malin Head","Hours","85.6"
"Sunshine Duration","1962 October","Claremorris","Hours","92.5"
"Sunshine Duration","1962 October","Valentia Observatory","Hours","109.2"
"Sunshine Duration","1962 October","Belmullet","Hours","90.4"
"Sunshine Duration","1962 October","Shannon Airport","Hours","87.2"
"Sunshine Duration","1962 October","Dublin Airport","Hours","120.6"
"Sunshine Duration","1962 October","Mullingar","Hours","99.1"
"Sunshine Duration","1962 October","Cork Airport","Hours","105.9"
"Sunshine Duration","1962 October","Casement","Hours",""
"Sunshine Duration","1962 October","Phoenix Park","Hours",""
"Sunshine Duration","1962 October","Roches Point","Hours",""
"Sunshine Duration","1962 October","Markree","Hours",""
"Sunshine Duration","1962 November","Malin Head","Hours","38"
"Sunshine Duration","1962 November","Claremorris","Hours","41.5"
"Sunshine Duration","1962 November","Valentia Observatory","Hours","49.9"
"Sunshine Duration","1962 November","Belmullet","Hours","44.2"
"Sunshine Duration","1962 November","Shannon Airport","Hours","46.3"
"Sunshine Duration","1962 November","Dublin Airport","Hours","44.3"
"Sunshine Duration","1962 November","Mullingar","Hours","46.8"
"Sunshine Duration","1962 November","Cork Airport","Hours","57.2"
"Sunshine Duration","1962 November","Casement","Hours",""
"Sunshine Duration","1962 November","Phoenix Park","Hours",""
"Sunshine Duration","1962 November","Roches Point","Hours",""
"Sunshine Duration","1962 November","Markree","Hours",""
"Sunshine Duration","1962 December","Malin Head","Hours","29.3"
"Sunshine Duration","1962 December","Claremorris","Hours","47"
"Sunshine Duration","1962 December","Valentia Observatory","Hours","50.3"
"Sunshine Duration","1962 December","Belmullet","Hours","36.1"
"Sunshine Duration","1962 December","Shannon Airport","Hours","55.6"
"Sunshine Duration","1962 December","Dublin Airport","Hours","57.3"
"Sunshine Duration","1962 December","Mullingar","Hours","47.9"
"Sunshine Duration","1962 December","Cork Airport","Hours","61.1"
"Sunshine Duration","1962 December","Casement","Hours",""
"Sunshine Duration","1962 December","Phoenix Park","Hours",""
"Sunshine Duration","1962 December","Roches Point","Hours",""
"Sunshine Duration","1962 December","Markree","Hours",""
"Sunshine Duration","1963 January","Malin Head","Hours","65.3"
"Sunshine Duration","1963 January","Claremorris","Hours","84"
"Sunshine Duration","1963 January","Valentia Observatory","Hours","88.9"
"Sunshine Duration","1963 January","Belmullet","Hours","87.9"
"Sunshine Duration","1963 January","Shannon Airport","Hours","67.4"
"Sunshine Duration","1963 January","Dublin Airport","Hours","58.4"
"Sunshine Duration","1963 January","Mullingar","Hours","71"
"Sunshine Duration","1963 January","Cork Airport","Hours","54.2"
"Sunshine Duration","1963 January","Casement","Hours",""
"Sunshine Duration","1963 January","Phoenix Park","Hours",""
"Sunshine Duration","1963 January","Roches Point","Hours",""
"Sunshine Duration","1963 January","Markree","Hours",""
"Sunshine Duration","1963 February","Malin Head","Hours","80.8"
"Sunshine Duration","1963 February","Claremorris","Hours","69"
"Sunshine Duration","1963 February","Valentia Observatory","Hours","69.5"
"Sunshine Duration","1963 February","Belmullet","Hours","82.2"
"Sunshine Duration","1963 February","Shannon Airport","Hours","62.7"
"Sunshine Duration","1963 February","Dublin Airport","Hours","61.1"
"Sunshine Duration","1963 February","Mullingar","Hours","72.5"
"Sunshine Duration","1963 February","Cork Airport","Hours","65.5"
"Sunshine Duration","1963 February","Casement","Hours",""
"Sunshine Duration","1963 February","Phoenix Park","Hours",""
"Sunshine Duration","1963 February","Roches Point","Hours",""
"Sunshine Duration","1963 February","Markree","Hours",""
"Sunshine Duration","1963 March","Malin Head","Hours","133.9"
"Sunshine Duration","1963 March","Claremorris","Hours","114"
"Sunshine Duration","1963 March","Valentia Observatory","Hours","107"
"Sunshine Duration","1963 March","Belmullet","Hours","139.2"
"Sunshine Duration","1963 March","Shannon Airport","Hours","125.3"
"Sunshine Duration","1963 March","Dublin Airport","Hours","115.5"
"Sunshine Duration","1963 March","Mullingar","Hours","128.8"
"Sunshine Duration","1963 March","Cork Airport","Hours","122.7"
"Sunshine Duration","1963 March","Casement","Hours",""
"Sunshine Duration","1963 March","Phoenix Park","Hours",""
"Sunshine Duration","1963 March","Roches Point","Hours",""
"Sunshine Duration","1963 March","Markree","Hours",""
"Sunshine Duration","1963 April","Malin Head","Hours","152.9"
"Sunshine Duration","1963 April","Claremorris","Hours","109"
"Sunshine Duration","1963 April","Valentia Observatory","Hours","122.1"
"Sunshine Duration","1963 April","Belmullet","Hours","124.3"
"Sunshine Duration","1963 April","Shannon Airport","Hours","119.9"
"Sunshine Duration","1963 April","Dublin Airport","Hours","111.7"
"Sunshine Duration","1963 April","Mullingar","Hours","113.8"
