"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Mean Wind Speed","1961 December","Casement","Knots",""
"Mean Wind Speed","1961 December","Phoenix Park","Knots",""
"Mean Wind Speed","1961 December","Roches Point","Knots",""
"Mean Wind Speed","1961 December","Markree","Knots",""
"Mean Wind Speed","1962 January","Malin Head","Knots","15.6"
"Mean Wind Speed","1962 January","Claremorris","Knots","9.6"
"Mean Wind Speed","1962 January","Valentia Observatory","Knots","13"
"Mean Wind Speed","1962 January","Belmullet","Knots","16.5"
"Mean Wind Speed","1962 January","Shannon Airport","Knots","11"
"Mean Wind Speed","1962 January","Dublin Airport","Knots","13.5"
"Mean Wind Speed","1962 January","Mullingar","Knots","9.7"
"Mean Wind Speed","1962 January","Cork Airport","Knots","12.8"
"Mean Wind Speed","1962 January","Casement","Knots",""
"Mean Wind Speed","1962 January","Phoenix Park","Knots",""
"Mean Wind Speed","1962 January","Roches Point","Knots",""
"Mean Wind Speed","1962 January","Markree","Knots",""
"Mean Wind Speed","1962 February","Malin Head","Knots","18.3"
"Mean Wind Speed","1962 February","Claremorris","Knots","11.2"
"Mean Wind Speed","1962 February","Valentia Observatory","Knots","11.6"
"Mean Wind Speed","1962 February","Belmullet","Knots","16.8"
"Mean Wind Speed","1962 February","Shannon Airport","Knots","13.1"
"Mean Wind Speed","1962 February","Dublin Airport","Knots","15.3"
"Mean Wind Speed","1962 February","Mullingar","Knots","12"
"Mean Wind Speed","1962 February","Cork Airport","Knots","13.6"
"Mean Wind Speed","1962 February","Casement","Knots",""
"Mean Wind Speed","1962 February","Phoenix Park","Knots",""
"Mean Wind Speed","1962 February","Roches Point","Knots",""
"Mean Wind Speed","1962 February","Markree","Knots",""
"Mean Wind Speed","1962 March","Malin Head","Knots","11.6"
"Mean Wind Speed","1962 March","Claremorris","Knots","7.5"
"Mean Wind Speed","1962 March","Valentia Observatory","Knots","8.3"
"Mean Wind Speed","1962 March","Belmullet","Knots","9.8"
"Mean Wind Speed","1962 March","Shannon Airport","Knots","9.5"
"Mean Wind Speed","1962 March","Dublin Airport","Knots","9.8"
"Mean Wind Speed","1962 March","Mullingar","Knots","7.1"
"Mean Wind Speed","1962 March","Cork Airport","Knots","10.3"
"Mean Wind Speed","1962 March","Casement","Knots",""
"Mean Wind Speed","1962 March","Phoenix Park","Knots",""
"Mean Wind Speed","1962 March","Roches Point","Knots",""
"Mean Wind Speed","1962 March","Markree","Knots",""
"Mean Wind Speed","1962 April","Malin Head","Knots","11.7"
"Mean Wind Speed","1962 April","Claremorris","Knots","8.6"
"Mean Wind Speed","1962 April","Valentia Observatory","Knots","9.5"
"Mean Wind Speed","1962 April","Belmullet","Knots","12.2"
"Mean Wind Speed","1962 April","Shannon Airport","Knots","9.8"
"Mean Wind Speed","1962 April","Dublin Airport","Knots","10.6"
"Mean Wind Speed","1962 April","Mullingar","Knots","8.8"
"Mean Wind Speed","1962 April","Cork Airport","Knots","11.7"
"Mean Wind Speed","1962 April","Casement","Knots",""
"Mean Wind Speed","1962 April","Phoenix Park","Knots",""
"Mean Wind Speed","1962 April","Roches Point","Knots",""
"Mean Wind Speed","1962 April","Markree","Knots",""
"Mean Wind Speed","1962 May","Malin Head","Knots","12.9"
"Mean Wind Speed","1962 May","Claremorris","Knots","9"
"Mean Wind Speed","1962 May","Valentia Observatory","Knots","10.6"
"Mean Wind Speed","1962 May","Belmullet","Knots","12.2"
"Mean Wind Speed","1962 May","Shannon Airport","Knots","10.3"
"Mean Wind Speed","1962 May","Dublin Airport","Knots","9.6"
"Mean Wind Speed","1962 May","Mullingar","Knots","7.9"
"Mean Wind Speed","1962 May","Cork Airport","Knots","12"
"Mean Wind Speed","1962 May","Casement","Knots",""
"Mean Wind Speed","1962 May","Phoenix Park","Knots",""
"Mean Wind Speed","1962 May","Roches Point","Knots",""
"Mean Wind Speed","1962 May","Markree","Knots",""
"Mean Wind Speed","1962 June","Malin Head","Knots","15.1"
"Mean Wind Speed","1962 June","Claremorris","Knots","10.3"
"Mean Wind Speed","1962 June","Valentia Observatory","Knots","9.5"
"Mean Wind Speed","1962 June","Belmullet","Knots","13.9"
"Mean Wind Speed","1962 June","Shannon Airport","Knots","10.2"
