"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Mean Maximum Temperature","1961 February","Mullingar","Degrees C","10.2"
"Mean Maximum Temperature","1961 February","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 February","Casement","Degrees C",""
"Mean Maximum Temperature","1961 February","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 February","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 February","Markree","Degrees C",""
"Mean Maximum Temperature","1961 March","Malin Head","Degrees C","11.3"
"Mean Maximum Temperature","1961 March","Claremorris","Degrees C","11.8"
"Mean Maximum Temperature","1961 March","Valentia Observatory","Degrees C","12"
"Mean Maximum Temperature","1961 March","Belmullet","Degrees C","11.4"
"Mean Maximum Temperature","1961 March","Shannon Airport","Degrees C","12.6"
"Mean Maximum Temperature","1961 March","Dublin Airport","Degrees C","12.4"
"Mean Maximum Temperature","1961 March","Mullingar","Degrees C","12.4"
"Mean Maximum Temperature","1961 March","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 March","Casement","Degrees C",""
"Mean Maximum Temperature","1961 March","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 March","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 March","Markree","Degrees C",""
"Mean Maximum Temperature","1961 April","Malin Head","Degrees C","11.2"
"Mean Maximum Temperature","1961 April","Claremorris","Degrees C","12.8"
"Mean Maximum Temperature","1961 April","Valentia Observatory","Degrees C","13.7"
"Mean Maximum Temperature","1961 April","Belmullet","Degrees C","12.4"
"Mean Maximum Temperature","1961 April","Shannon Airport","Degrees C","14.1"
"Mean Maximum Temperature","1961 April","Dublin Airport","Degrees C","12.5"
"Mean Maximum Temperature","1961 April","Mullingar","Degrees C","13.7"
"Mean Maximum Temperature","1961 April","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 April","Casement","Degrees C",""
"Mean Maximum Temperature","1961 April","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 April","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 April","Markree","Degrees C",""
"Mean Maximum Temperature","1961 May","Malin Head","Degrees C","12.7"
"Mean Maximum Temperature","1961 May","Claremorris","Degrees C","15.1"
"Mean Maximum Temperature","1961 May","Valentia Observatory","Degrees C","15.6"
"Mean Maximum Temperature","1961 May","Belmullet","Degrees C","14.3"
"Mean Maximum Temperature","1961 May","Shannon Airport","Degrees C","16.2"
"Mean Maximum Temperature","1961 May","Dublin Airport","Degrees C","14.4"
"Mean Maximum Temperature","1961 May","Mullingar","Degrees C","15.5"
"Mean Maximum Temperature","1961 May","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 May","Casement","Degrees C",""
"Mean Maximum Temperature","1961 May","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 May","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 May","Markree","Degrees C",""
"Mean Maximum Temperature","1961 June","Malin Head","Degrees C","15.5"
"Mean Maximum Temperature","1961 June","Claremorris","Degrees C","16"
"Mean Maximum Temperature","1961 June","Valentia Observatory","Degrees C","15.7"
"Mean Maximum Temperature","1961 June","Belmullet","Degrees C","15.1"
"Mean Maximum Temperature","1961 June","Shannon Airport","Degrees C","17.4"
"Mean Maximum Temperature","1961 June","Dublin Airport","Degrees C","17.4"
"Mean Maximum Temperature","1961 June","Mullingar","Degrees C","17.9"
"Mean Maximum Temperature","1961 June","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 June","Casement","Degrees C",""
"Mean Maximum Temperature","1961 June","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 June","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 June","Markree","Degrees C",""
"Mean Maximum Temperature","1961 July","Malin Head","Degrees C","15.4"
"Mean Maximum Temperature","1961 July","Claremorris","Degrees C","16.5"
"Mean Maximum Temperature","1961 July","Valentia Observatory","Degrees C","17.1"
"Mean Maximum Temperature","1961 July","Belmullet","Degrees C","15.3"
"Mean Maximum Temperature","1961 July","Shannon Airport","Degrees C","18"
"Mean Maximum Temperature","1961 July","Dublin Airport","Degrees C","17.5"
"Mean Maximum Temperature","1961 July","Mullingar","Degrees C","17.5"
"Mean Maximum Temperature","1961 July","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 July","Casement","Degrees C",""
"Mean Maximum Temperature","1961 July","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 July","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 July","Markree","Degrees C",""
"Mean Maximum Temperature","1961 August","Malin Head","Degrees C","16.5"
"Mean Maximum Temperature","1961 August","Claremorris","Degrees C","17.4"
"Mean Maximum Temperature","1961 August","Valentia Observatory","Degrees C","17.4"
"Mean Maximum Temperature","1961 August","Belmullet","Degrees C","16.5"
"Mean Maximum Temperature","1961 August","Shannon Airport","Degrees C","18.3"
"Mean Maximum Temperature","1961 August","Dublin Airport","Degrees C","18.2"
"Mean Maximum Temperature","1961 August","Mullingar","Degrees C","18.3"
"Mean Maximum Temperature","1961 August","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 August","Casement","Degrees C",""
"Mean Maximum Temperature","1961 August","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 August","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 August","Markree","Degrees C",""
"Mean Maximum Temperature","1961 September","Malin Head","Degrees C","16.3"
"Mean Maximum Temperature","1961 September","Claremorris","Degrees C","16.3"
"Mean Maximum Temperature","1961 September","Valentia Observatory","Degrees C","17"
"Mean Maximum Temperature","1961 September","Belmullet","Degrees C","16"
"Mean Maximum Temperature","1961 September","Shannon Airport","Degrees C","17.6"
"Mean Maximum Temperature","1961 September","Dublin Airport","Degrees C","17.3"
"Mean Maximum Temperature","1961 September","Mullingar","Degrees C","17.5"
"Mean Maximum Temperature","1961 September","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 September","Casement","Degrees C",""
"Mean Maximum Temperature","1961 September","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 September","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 September","Markree","Degrees C",""
"Mean Maximum Temperature","1961 October","Malin Head","Degrees C","13"
"Mean Maximum Temperature","1961 October","Claremorris","Degrees C","12.9"
"Mean Maximum Temperature","1961 October","Valentia Observatory","Degrees C","14"
"Mean Maximum Temperature","1961 October","Belmullet","Degrees C","12.9"
"Mean Maximum Temperature","1961 October","Shannon Airport","Degrees C","13.7"
"Mean Maximum Temperature","1961 October","Dublin Airport","Degrees C","13.1"
"Mean Maximum Temperature","1961 October","Mullingar","Degrees C","12.8"
"Mean Maximum Temperature","1961 October","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 October","Casement","Degrees C",""
"Mean Maximum Temperature","1961 October","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 October","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 October","Markree","Degrees C",""
"Mean Maximum Temperature","1961 November","Malin Head","Degrees C","9.5"
"Mean Maximum Temperature","1961 November","Claremorris","Degrees C","9"
"Mean Maximum Temperature","1961 November","Valentia Observatory","Degrees C","10.7"
"Mean Maximum Temperature","1961 November","Belmullet","Degrees C","10"
"Mean Maximum Temperature","1961 November","Shannon Airport","Degrees C","9.7"
"Mean Maximum Temperature","1961 November","Dublin Airport","Degrees C","9.3"
"Mean Maximum Temperature","1961 November","Mullingar","Degrees C","8.9"
"Mean Maximum Temperature","1961 November","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 November","Casement","Degrees C",""
"Mean Maximum Temperature","1961 November","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 November","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 November","Markree","Degrees C",""
"Mean Maximum Temperature","1961 December","Malin Head","Degrees C","7.1"
"Mean Maximum Temperature","1961 December","Claremorris","Degrees C","5.7"
"Mean Maximum Temperature","1961 December","Valentia Observatory","Degrees C","8.7"
"Mean Maximum Temperature","1961 December","Belmullet","Degrees C","7.1"
"Mean Maximum Temperature","1961 December","Shannon Airport","Degrees C","7"
"Mean Maximum Temperature","1961 December","Dublin Airport","Degrees C","7"
"Mean Maximum Temperature","1961 December","Mullingar","Degrees C","5.6"
"Mean Maximum Temperature","1961 December","Cork Airport","Degrees C",""
"Mean Maximum Temperature","1961 December","Casement","Degrees C",""
"Mean Maximum Temperature","1961 December","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1961 December","Roches Point","Degrees C",""
"Mean Maximum Temperature","1961 December","Markree","Degrees C",""
"Mean Maximum Temperature","1962 January","Malin Head","Degrees C","7.9"
"Mean Maximum Temperature","1962 January","Claremorris","Degrees C","7.5"
"Mean Maximum Temperature","1962 January","Valentia Observatory","Degrees C","9.8"
"Mean Maximum Temperature","1962 January","Belmullet","Degrees C","8.4"
"Mean Maximum Temperature","1962 January","Shannon Airport","Degrees C","8.2"
"Mean Maximum Temperature","1962 January","Dublin Airport","Degrees C","7.8"
"Mean Maximum Temperature","1962 January","Mullingar","Degrees C","7.2"
"Mean Maximum Temperature","1962 January","Cork Airport","Degrees C","8.2"
"Mean Maximum Temperature","1962 January","Casement","Degrees C",""
"Mean Maximum Temperature","1962 January","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1962 January","Roches Point","Degrees C",""
"Mean Maximum Temperature","1962 January","Markree","Degrees C",""
"Mean Maximum Temperature","1962 February","Malin Head","Degrees C","8.4"
"Mean Maximum Temperature","1962 February","Claremorris","Degrees C","8.6"
"Mean Maximum Temperature","1962 February","Valentia Observatory","Degrees C","9.3"
"Mean Maximum Temperature","1962 February","Belmullet","Degrees C","9.2"
"Mean Maximum Temperature","1962 February","Shannon Airport","Degrees C","9.1"
"Mean Maximum Temperature","1962 February","Dublin Airport","Degrees C","8.1"
"Mean Maximum Temperature","1962 February","Mullingar","Degrees C","7.8"
"Mean Maximum Temperature","1962 February","Cork Airport","Degrees C","7.9"
"Mean Maximum Temperature","1962 February","Casement","Degrees C",""
